title,publication_date,author,genre,average_rating,num_of_ratings,num_of_pages,rank,language,current_readers,already_read
No Rules Rules: Netflix and the Culture of Reinvention,"September 8, 2020",Reed Hastings,Business,4.28,"29,350",464,689,English,"6,433",59.5k
Una rosa roja para un corazón roto: Arían libro 1,"July 17, 2020",Rafael Odalis Bautista Ventura,,4.8,5,324,689,Spanish; Castilian,6,
Truly (In Love 1),"May 27, 2020",Ava Reed,Romance,3.81,"6,117",140,689,German,129,"4,556"
La muerte en bermudas,"July 10, 2020",José Urbano Hortelano,,5,1,282,689,Spanish; Castilian,,3
Burn Our Bodies Down,"July 7, 2020",Rory Power,Horror,3.51,"11,907",352,689,English,369,40.6k
Wraithblade,"October 11, 2020",S.M. Boyce,Fantasy,4.41,"3,500",772,689,English,"1,669","1,868"
Love and Other Thought Experiments,"February 6, 2020",Sophie Ward,Fiction,3.59,"5,870",272,689,English,334,18.8k
Be a Dick: How One Person Can Change the World in the Most Unexpected Way,"September 18, 2020",Marc Ensign,Self Help,4.64,28,114,689,English,3,81
The Salon of Exiled Artists in California,"January 25, 2020",Núria Añó,Art,4.25,12,237,689,English,1,162
The Archon of Peace,"December 7, 2020",Juddy Anderson C. Punzalan,Fantasy,4.59,404,795,689,English,33,"4,040"
The Book of Moods: How I Turned My Worst Emotions Into My Best Life,"December 8, 2020",Lauren Martin,Nonfiction,3.83,"4,325",288,689,English,675,16.8k
Nyx,"January 15, 2020",Serena Akeroyd,Romance,4.05,"9,730",311,689,,"4,054",10.3k
Fatal Fraud,"October 20, 2020",Marie Force,Romance,4.68,"3,645",358,689,English,"1,473","2,462"
To Dwell Among Cedars,"December 1, 2020",Connilyn Cossette,Biblical Fiction,4.51,"2,279",364,689,English,348,"3,419"
Twenty,"January 28, 2020",Debra Landwehr Engle,Fiction,3.89,975,240,689,English,134,"7,530"
Hollywood Park,"May 5, 2020",Mikel Jollett,Memoir,4.29,"15,795",384,689,English,"1,595",38.8k
The Castle of Tangled Magic,"October 1, 2020",Sophie Anderson,Middle Grade,4,"2,117",416,689,English,121,"6,197"
A Necessary Blessing,"November 19, 2020",Sarah Head,Fiction,3.96,74,352,689,English,7,173
Unlocked,"November 17, 2020",Shannon Messenger,,4.25,"25,243",768,689,English,"2,009",12.1k
Parachutes,"May 26, 2020",Kelly Yang,Young Adult,4.19,"12,405",496,689,English,502,27.1k
Judge Dee and the Limits of the Law,"November 11, 2020",Lavie Tidhar,Fantasy,4.01,790,32,689,English,39,763
We Will Not Cancel Us: And Other Dreams of Transformative Justice,"November 17, 2020",Adrienne Maree Brown,Nonfiction,4.3,"2,908",88,689,English,371,10.8k
Kundiman for Kin/Information Retrieval for Monsters,"January 1, 2020",Ching-In Chen,,5,2,19,689,English,1,14
Em,"November 2, 2020",Kim Thúy,Fiction,4.11,"6,288",160,689,English,166,"6,026"
Crush,"September 29, 2020",Tracy Wolff,Fantasy,4.25,"1,30,882",704,689,English,16.8k,94.5k
This Telling,"September 1, 2020",Cheryl Strayed,Short Stories,3.95,"7,111",37,689,English,"1,320","4,135"
Cher Ami and Major Whittlesey: A Novel,"August 11, 2020",Kathleen Rooney,Historical Fiction,3.98,"2,241",324,689,English,465,"5,710"
Art Comic,"October 2, 2020",Matthew Thurber,Graphic Novels,3.65,97,200,689,English,2,70
The Weekend Away,"July 23, 2020",Sarah Alderson,Thriller,3.91,"14,454",336,689,English,974,21.4k
Daughter of No Worlds,"January 7, 2020",Carissa Broadbent,Fantasy,4.03,"1,31,596",520,689,English,21k,293k
The Eighth Wonder of the World: The True Story of André the Giant,"April 14, 2020",Bertrand Hébert,,4.13,672,377,689,English,84,682
Tamarillo Tart,"May 14, 2020",Jay Hogan,Romance,4.25,"1,118",267,689,English,146,398
Wilmington's Lie: The Murderous Coup of 1898 and the Rise of White Supremacy,"January 7, 2020",David Zucchino,History,4.43,"3,856",426,689,English,"1,298",14.8k
Lot 202,"May 20, 2020",Remigiusz Mróz,Audiobook,3.77,"1,081",512,689,Polish,29,436
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,"August 15, 2020",Eric Jorgenson,Business,4.44,"54,818",242,689,English,12k,90k
Heaven and Hell: A History of the Afterlife,"March 31, 2020",Bart D. Ehrman,Religion,4.06,"3,482",327,689,English,"1,103","7,933"
Online,"February 28, 2020",Madeleine Taylor,Romance,4.18,554,154,689,English,51,387
Trace Elements,"March 3, 2020",Donna Leon,Mystery,3.88,"8,897",278,756,English,"1,391","3,086"
Woman of Sunlight,"March 3, 2020",Mary Connealy,Historical Fiction,4.27,"1,261",304,756,English,158,"1,924"
Love According to Science,"January 23, 2020",Claire Kingsley,,4.13,"18,304",375,756,English,"7,326",13.1k
Abschied,"April 22, 2020",Isa Day,,4.5,4,123,756,German,6,
You Let Me In,"March 5, 2020",Camilla Bruce,Horror,3.65,"5,785",247,756,English,408,17.3k
Romantically Ever After,"May 12, 2020",Tessa Layne,,4.46,289,3693,756,English,,
Feralsong,"January 10, 2020",T.J. Klune,Fantasy,4.36,"5,550",32,756,English,39,"8,671"
The River Home,"February 25, 2020",Hannah Richell,Fiction,3.95,"2,084",368,756,English,152,"4,748"
Worth a Shot,"January 14, 2020",Gail Haris,Romance,4.17,217,298,756,English,35,537
A Reckless Love,"June 1, 2020",Beth White,Historical Fiction,4.27,279,368,756,English,39,"1,661"
The House at the End of the Moor,"April 1, 2020",Michelle Griep,Historical Fiction,4.25,"1,516",320,756,English,191,"4,143"
Spring Strings,"May 1, 2020",Lily Morton,M M Romance,4.22,"3,433",154,756,English,296,"1,304"
Dating Makes Perfect,"September 1, 2020",Pintip Dunn,Romance,3.89,"1,450",400,756,English,51,"8,387"
How the Lady Was Won,"February 11, 2020",Shana Galen,Historical Romance,3.84,818,424,756,English,172,558
The Milk Wagon,"April 2, 2020",Michael Hewes,Fiction,4.21,394,364,756,English,80,684
One True King,"June 2, 2020",Soman Chainani,Fantasy,4.35,"17,495",624,756,English,864,20.6k
Lightbringer,"September 8, 2020",Claire Legrand,Fantasy,3.98,"14,242",594,756,English,840,36.3k
Wolf in Sheep's Clothing,"March 2, 2020",Charlie Adhara,M M Romance,4.45,"5,830",268,756,English,216,"1,629"
Charming Like Us,"June 23, 2020",Krista Ritchie,Romance,3.93,"8,460",503,756,English,372,"9,721"
One Year of Ugly,"July 7, 2020",Caroline Mackenzie,Fiction,3.78,"2,119",400,756,English,131,390
Again Again,"June 2, 2020",E. Lockhart,Young Adult,3.13,"11,185",289,756,English,587,26.4k
How to Defeat a Demon King in Ten Easy Steps,"April 30, 2020",Andrew Rowe,Fantasy,4.02,"7,774",6,756,English,375,"3,456"
Incendiary,"April 28, 2020",Zoraida Córdova,Fantasy,3.87,"8,770",450,756,English,704,58.3k
Mirror To Fear,"February 21, 2020",Darla Lark,,4.78,9,270,756,English,10,
Elijah Wadsworth and the Druid's Dance,"December 8, 2018",Theophilus Monroe,Fantasy,4.27,109,394,756,English,89,159
Thoroughly Whipped,"June 7, 2020",Tillie Cole,Romance,4.11,"2,525",291,756,English,225,"4,877"
"Date Me, Bryson Keller","May 19, 2020",Kevin van Whye,Romance,3.91,"21,021",,756,English,459,19.3k
The Court of Miracles,"June 19, 2020",Kester Grant,Fantasy,3.68,"8,934",402,756,English,408,39.6k
Inside Voices: A captivating mystery with a touch of romance,"June 23, 2020",Sarah Davis,Mystery,4.35,271,321,756,English,241,206
Tempted by Love,"September 9, 2020",Melissa Foster,Romance,4.41,"3,926",325,756,English,"1,963","4,219"
Confessions of Her,"October 6, 2020",Cindy Cherie,Poetry,4.05,418,192,756,English,78,758
QualityLand 2.0,"October 12, 2020",Marc-Uwe Kling,Science Fiction,4.18,"6,074",427,756,German,227,"2,979"
When We Were Magic,"March 3, 2020",Sarah Gailey,Fantasy,3.59,"5,459",352,756,English,236,22.2k
Three Perfect Liars,"August 18, 2020",Heidi Perks,Thriller,3.69,"11,085",330,756,English,826,17.4k
Toxic,"April 10, 2020",Serena Akeroyd,Romance,4.04,264,414,756,English,240,565
The Office of Historical Corrections,"November 10, 2020",Danielle Evans,Short Stories,4.18,"34,878",269,756,English,"2,058",74.9k
Leaving the Way,"August 21, 2020",Ellie Aiden,,4.9,10,225,756,English,1,
The Court of Mortals,"January 18, 2020",A.J. Lancaster,Fantasy,4.21,"3,745",412,756,English,462,"1,532"
Cat Kid Comic Club,"December 1, 2020",Dav Pilkey,Graphic Novels,4.04,"37,249",176,756,English,"1,166",21.8k
These Violent Delights,"November 17, 2020",Chloe Gong,Historical Fiction,3.82,"1,56,215",449,756,English,14.8k,467k
Camp,"May 26, 2020",L.C. Rosen,LGBT,3.96,"7,631",416,756,English,289,14.9k
Quarantined,"April 2, 2020",Drethi Anis,Dark,3.78,"2,204",266,756,English,426,"3,178"
Survival of the Friendliest: Understanding Our Origins and Rediscovering Our Common Humanity,"July 14, 2020",Brian Hare,Nonfiction,4.04,"1,388",304,756,English,266,"7,361"
Confess: The Autobiography,"September 29, 2020",Rob Halford,Music,4.4,"3,496",355,756,English,292,"1,978"
The Sky is Blue with a Single Cloud,"July 7, 2020",Kuniko Tsurita,Manga,3.64,409,384,756,English,25,880
The Scapegracers,"September 15, 2020",H.A. Clarke,Fantasy,3.93,"3,229",400,756,English,317,18.7k
Bayou Baby,"August 25, 2020",Lexi Blake,Romance,4.25,"2,112",319,756,English,314,941
Riley Thorn and the Dead Guy Next Door,"August 27, 2020",Lucy Score,Romance,4.2,"46,560",519,756,English,15.4k,66.5k
Flat Whites & Chocolate Fish,"July 16, 2020",Jay Hogan,M M Romance,4.28,"1,071",346,756,English,144,365
"Ace: What Asexuality Reveals About Desire, Society, and the Meaning of Sex","September 15, 2020",Angela Chen,Nonfiction,4.35,"17,322",240,756,English,"2,599",39.9k
Osiedle RZNiW,"July 15, 2020",Remigiusz Mróz,Audiobook,3.9,"1,987",400,756,Polish,51,580
Exciting Times,"April 1, 2020",Naoise Dolan,Fiction,3.22,"69,485",243,756,English,"3,276",105k
The Fate of a Flapper,"July 28, 2020",Susanna Calkins,Mystery,3.81,356,316,756,English,36,"2,167"
The Flaw in Our Design,"September 28, 2020",Monica McCallan,Romance,4.3,"1,769",378,756,English,212,983
Without You,"March 20, 2020",Marley Valentine,M M Romance,4.24,"11,264",358,756,English,"1,230","9,423"
Star of Persia:,"March 3, 2020",Jill Eileen Smith,Biblical Fiction,4.35,910,368,811,English,112,"2,954"
"On Vanishing: Mortality, Dementia, and What It Means to Disappear","April 14, 2020",Lynn Casteel Harper,Nonfiction,3.74,467,240,811,English,137,"4,119"
If You Must Know,"June 1, 2020",Jamie Beck,Fiction,3.89,"12,708",368,811,English,10.3k,"9,055"
The Runaway Bride,"March 1, 2020",Jody Hedlund,Historical Fiction,4.29,"2,710",384,811,English,249,"2,880"
Rewritten,"June 4, 2020",J.R. Gray,M M Romance,4.07,742,278,811,English,181,410
The Highlander's Excellent Adventure,"September 8, 2020",Shana Galen,Historical Romance,4.02,581,325,811,English,113,466
Poisoned,"October 20, 2020",Jennifer Donnelly,Fantasy,3.81,"8,819",333,811,English,462,18.7k
The Year the Maps Changed,"May 26, 2020",Danielle Binks,Middle Grade,4.14,840,304,811,English,34,"4,154"
How to Argue With a Racist: What Our Genes Do (and Don't) Say About Human Difference,"February 6, 2020",Adam Rutherford,Nonfiction,3.9,"6,249",224,811,English,765,30.9k
Neolithica,"January 19, 2020",Dan Soule,Horror,4.3,142,356,811,English,97,62
My Life As Death,"January 1, 2020",D.J. Hoskins,,4.36,11,68,811,English,4,14
His Summer Intern,"July 11, 2020",Jessa Kane,Novella,3.63,"2,659",50,811,English,366,840
Once Upon A Tyne: Our Story Celebrating 30 Years Together on Telly,"September 3, 2020",Anthony McPartlin,Nonfiction,4.4,"3,440",304,811,English,208,"1,078"
The Gritty Truth,"July 27, 2022",Melissa Foster,Romance,4.47,"2,270",356,811,English,986,"2,490"
Something to Talk About,"May 26, 2020",Meryl Wilsner,Romance,3.63,"30,746",336,811,English,906,62.5k
Survivor Song,"July 7, 2020",Paul Tremblay,Horror,3.62,"18,484",320,811,English,"1,412",43.8k
Hers To Hold,"April 15, 2020",Serena Akeroyd,Reverse Harem,4.31,911,366,811,English,298,565
Flirting with 40,"September 15, 2020",K. Bromberg,Romance,4.22,"4,563",300,811,English,534,"6,319"
Don’t Burn This Book: Thinking for Yourself in an Age of Unreason,"April 28, 2020",Dave Rubin,Politics,3.77,"3,734",256,811,English,861,"4,376"
A Declaration of the Rights of Magicians,"June 23, 2020",H.G. Parry,Fantasy,3.74,"3,857",531,811,English,759,21.9k
All the Best Lies,"February 11, 2020",Joanna Schaffhausen,Mystery,4.11,"2,294",322,811,English,206,"5,335"
The State of Us,"June 2, 2020",Shaun David Hutchinson,LGBT,3.4,"3,726",416,811,English,138,10.6k
Fifty Words for Rain,"September 1, 2020",Asha Lemmie,Historical Fiction,3.88,"43,915",464,811,English,"4,475",63.3k
Heroin chic,"January 1, 2020",Maria Kjos Fonn,Fiction,3.98,"1,754",205,811,Norwegian,90,"1,100"
"The Great Demographic Reversal: Ageing Societies, Waning Inequality, and an Inflation Revival","January 1, 2020",Charles Goodhart,Economics,4.09,467,280,811,English,326,"2,085"
Privacy is Power: Why and How You Should Take Back Control of Your Data,"January 1, 2020",Carissa Véliz,Nonfiction,4.03,"1,086",224,811,English,188,"3,953"
What Are You Going Through,"September 8, 2020",Sigrid Nunez,Fiction,3.74,"15,410",210,811,English,"1,328",36.5k
Skyland,"July 7, 2020",Andrew Durbin,Fiction,3.73,116,112,811,English,6,237
Strange Hotel,"February 4, 2020",Eimear McBride,Fiction,2.93,"1,604",160,811,English,99,"3,523"
A Sense of Danger,"November 12, 2020",Jennifer Estep,Urban Fantasy,4.19,"2,260",393,811,English,155,"1,019"
Honeybee,"September 29, 2020",Craig Silvey,Fiction,4.4,"37,925",421,811,English,"1,257",25.6k
Against the Grain,"December 8, 2020",Jay Hogan,Romance,4.28,"1,107",364,811,English,149,365
Prosta sprawa,"March 1, 2020",Wojciech Chmielarz,Audiobook,3.66,"1,454",10,811,Polish,29,316
進撃の巨人 31 [Shingeki no Kyojin 31],"April 9, 2020",Hajime Isayama,Manga,4.61,"11,627",192,811,Japanese,203,"3,491"
When You Least Expect It,"November 20, 2020",Haley Cass,Romance,4.31,"13,822",248,811,English,856,14.2k
Broken Vow,"December 2, 2020",Sophie Lark,Romance,4.09,"43,131",446,811,English,"4,257",55.8k
Brutal Prince,"July 15, 2020",Sophie Lark,Dark,3.76,"1,69,729",376,811,English,22.6k,185k
Like Flames in the Night,"March 1, 2020",Connilyn Cossette,Biblical Fiction,4.65,"2,441",384,848,English,348,"3,668"
A Mosaic of Wings,"May 5, 2020",Kimberly Duffy,Historical Fiction,4.16,"1,063",364,848,English,,
The Heart of a Hero,"June 2, 2020",Susan May Warren,Romance,4.46,"1,838",368,848,English,255,"2,439"
The Iron Crown,"April 6, 2020",M.A. Grant,Fantasy,4.12,685,364,848,English,86,593
Mermaid Moon,"March 3, 2020",Susann Cokal,Fantasy,3.29,856,496,848,English,72,"9,645"
Mr. Nobody,"January 7, 2020",Catherine Steadman,Mystery,3.6,"23,582",400,848,English,"2,665",27.8k
Sinister Magic,"February 28, 2020",Lindsay Buroker,Urban Fantasy,4.12,"10,781",248,848,English,"4,107",12.3k
Start With Me,"June 1, 2020",Kara Isaac,Contemporary,4.4,463,285,848,English,94,508
Wicked Saint,"February 10, 2020",Veronica Eden,Romance,3.62,"7,465",289,848,English,"2,113",10.4k
Tales from the Folly: A Rivers of London Short Story Collection,"July 31, 2020",Ben Aaronovitch,Fantasy,4.03,"9,155",139,848,English,923,"3,576"
Panic,"June 17, 2020",D.J. Hoskins,,4.33,12,142,848,English,9,
Breathless,"September 29, 2020",Jennifer Niven,Romance,3.77,"21,909",414,848,English,"1,214",43k
Cusp,"August 10, 2020",Bethany-Kris,Romance,4.01,160,64,848,English,16,184
Beckham,"August 13, 2020",Olivia T. Turner,Novella,4.21,745,80,848,English,317,232
Release,"January 4, 2020",Aly Martinez,Romance,4.15,"11,631",285,848,English,"3,316","9,717"
Adults,"January 30, 2020",Emma Jane Unsworth,Fiction,3.28,"12,992",400,848,English,691,20.6k
The Prettiest Star,"May 19, 2020",Carter Sickels,Fiction,4.43,"6,306",288,848,English,249,20.6k
Searching for Love,"July 29, 2020",Melissa Foster,Romance,4.55,"1,155",425,848,English,680,"1,366"
Basketful of Heads,"September 8, 2020",Joe Hill,Horror,4.08,"6,385",184,848,English,260,13.1k
Beyond the Dragon's Gate,"May 20, 2020",Yoon Ha Lee,Short Stories,3.72,603,20,848,English,49,802
From The Foster House To The White House,"October 15, 2020",Terrence Williams,Nonfiction,4.6,731,151,848,English,161,557
Or What You Will,"July 7, 2020",Jo Walton,Fantasy,3.77,"1,043",320,848,English,148,"7,148"
Kleptopia: How Dirty Money is Conquering the World,"September 1, 2020",Tom Burgis,Nonfiction,3.8,"3,685",464,848,English,"1,172","8,808"
The Eleventh Gate,"May 5, 2020",Nancy Kress,Science Fiction,3.5,292,388,848,English,40,410
Author in Chief: The Untold Story of Our Presidents and the Books They Wrote,"February 11, 2020",Craig Fehrman,History,4.05,496,434,848,English,108,"5,202"
Hard to Hold,"December 1, 2020",K. Bromberg,Sports Romance,4.27,"5,562",360,848,English,797,"7,548"
The One That Got Away,"September 20, 2020",Karina Halle,Romance,3.72,"1,759",392,848,English,744,"2,047"
A Cuban Girl's Guide to Tea and Tomorrow,"November 10, 2020",Laura Taylor Namey,Romance,3.76,"25,384",320,848,English,"1,248",49.7k
Polar Vortex,"March 3, 2020",Shani Mootoo,Fiction,3.53,"1,252",283,848,English,50,"2,266"
Chance of a Lifetime,"September 15, 2020",Jude Deveraux,Romance,3.57,"2,759",336,848,English,"1,013","1,555"
Sugar and Vice,"April 28, 2020",Eve Calder,Cozy Mystery,4.06,"1,286",352,848,English,168,833
Off Balance,"September 29, 2020",Jay Hogan,M M Romance,4.26,"2,549",382,848,English,320,"1,873"
進撃の巨人 32 [Shingeki no Kyojin 32],"September 9, 2020",Hajime Isayama,Manga,4.57,"9,917",192,848,Japanese,160,"2,344"
My Life as a Villainess,"August 4, 2020",Laura Lippman,Nonfiction,3.69,"1,500",384,848,English,189,"5,577"
"Idol, Burning","September 11, 2020",Rin Usami,Fiction,3.22,"9,393",144,848,English,233,17.4k
The Care and Feeding of Waspish Widows,"July 28, 2020",Olivia Waite,Romance,3.88,"3,298",271,848,English,309,"4,820"
The Favor,"October 13, 2020",Suzanne Wright,Romance,3.97,"47,598",388,848,English,"1,935",40.4k
Stolen Heir,"August 12, 2020",Sophie Lark,Romance,3.85,"79,945",430,848,English,"9,255",66.1k
Ted Templeman: A Platinum Producer’s Life in Music,"21, 2020",Ted Templeman,Music,4.24,653,463,886,English,132,400
"Spirit Run: A 6,000-Mile Marathon Through North America's Stolen Land","March 3, 2020",Noé Álvarez,Nonfiction,3.51,"4,453",240,886,English,319,10.4k
The Silvered Serpents,"September 22, 2020",Roshani Chokshi,Fantasy,4.08,"20,039",406,886,English,661,42.9k
The Age of Entitlement: America Since the Sixties,"January 21, 2020",Christopher Caldwell,History,4.03,"1,454",352,886,English,558,"4,045"
Some Bright Someday,"November 19, 2020",Melissa Tagg,Christian Fiction,4.59,801,366,886,English,142,602
She Leads: The Elephant Matriarch,"April 1, 2020",June Smalls,Picture Books,4.27,175,32,886,English,1,178
Tales of Ming Courtesans,"June 1, 2020",Alice Poon,Historical Fiction,3.82,77,354,886,English,12,"1,157"
A Graceful Swan for the Fearless Marquess,"January 1, 2020",Fanny Finch,Historical Romance,4.27,215,362,886,English,412,87
Our Way,"July 26, 2020",T.L. Swan,Romance,4.08,"24,610",560,886,English,10.5k,10.8k
Paralysis,"June 17, 2020",D.J. Hoskins,,4.26,19,128,886,English,8,
Sweet Chaos,"April 3, 2020",Emery Rose Andrews,Romance,4.16,"5,901",331,886,English,"1,482","5,504"
Private Moscow,"September 3, 2020",James Patterson,Thriller,4.24,"9,791",432,886,English,"2,053",15.4k
Stranger Things: Zombie Boys,"January 21, 2020",Greg Pak,Graphic Novels,3.6,"1,341",72,886,English,20,"1,002"
A Haven for Her Heart,"October 1, 2020",Susan Anne Mason,Historical Fiction,4.35,452,368,886,English,42,"1,011"
The Last Story of Mina Lee,"September 1, 2020",Nancy Jooyoun Kim,,3.53,"43,922",384,886,English,"2,521",51.6k
The New David Espinoza,"February 11, 2020",Fred Aceves,Young Adult,3.76,829,336,886,English,43,"2,460"
A Little Bit Wicked,"June 17, 2020",Melissa Foster,Romance,4.25,"4,150",425,886,English,"3,357","5,550"
A Dance with Fate,"September 1, 2020",Juliet Marillier,Fantasy,4.24,"2,795",512,886,English,174,"2,584"
Here to Stay,"August 25, 2020",Adriana Herrera,Romance,3.86,"1,108",393,886,English,108,"2,087"
"When the Light of the World Was Subdued, Our Songs Came Through: A Norton Anthology of Native Nations Poetry","August 25, 2020",Joy Harjo,Poetry,4.55,783,458,886,English,413,"6,931"
Divided We Fall: America's Secession Threat and How to Restore Our Nation,"September 22, 2020",David French,Politics,4.1,"1,294",288,886,English,287,"2,189"
Girls with Razor Hearts,"March 17, 2020",Suzanne Young,Young Adult,3.8,"3,625",400,886,English,145,"3,916"
The Rakess,"April 28, 2020",Scarlett Peckham,Romance,3.83,"2,956",400,886,English,304,"6,864"
The Labyrinth,"December 10, 2020",Simon Stålenhag,Science Fiction,4.16,"1,560",150,886,English,40,"2,633"
The Big Finish,"April 14, 2020",Brooke Fossey,Fiction,3.69,"4,100",336,886,English,507,16.2k
Forsaken Trail,"December 29, 2020",Devney Perry,Romance,4.16,"8,849",268,886,English,767,"6,939"
The King of Crows,"February 4, 2020",Libba Bray,Fantasy,3.94,"13,661",560,886,English,424,24.3k
The Billionaire's Fake Fiancée,"April 28, 2020",Annika Martin,Romance,3.98,"10,252",386,886,English,"1,108","7,717"
我們的最後進化 Our Last Evolution,"August 31, 2020",傘下的人,,4,5,280,886,Chinese,19,
Home to Me,"July 14, 2020",Catherine Bybee,Romance,4.48,"10,454",312,886,English,"4,761","3,296"
Vagablonde,"May 26, 2020",Anna Dorn,Fiction,3.53,609,260,886,English,33,"3,350"
Crown of Shadows,"November 20, 2020",K.M. Shea,Fantasy,4.22,"11,141",359,886,English,"2,127",11.3k
Up Close and Personal,"March 12, 2020",Jay Hogan,M M Romance,4.03,"1,494",377,886,English,196,445
De kaasfabriek,"August 1, 2020",Simone van der Vlugt,Historical Fiction,3.74,"1,312",405,886,Dutch; Flemish,34,557
City Spies,"March 10, 2020",James Ponti,Middle Grade,4.31,"12,430",378,886,English,"1,157",11.6k
Three Keys,"September 15, 2020",Kelly Yang,Middle Grade,4.42,"9,677",271,886,English,818,"6,594"
Mr Wilder & Me,"November 5, 2020",Jonathan Coe,Fiction,3.76,"6,519",320,886,English,223,"4,996"
Not a River,"January 1, 2020",Selva Almada,Fiction,3.93,"4,698",99,886,English,175,11.5k
The Mall,"July 28, 2020",Megan McCafferty,Young Adult,3.58,"3,070",320,924,English,90,12.6k
"I Want to Believe: Posadism, UFOs and Apocalypse Communism","April 1, 2020",A.M. Gittlitz,History,3.88,251,249,924,English,39,839
The Herd,"March 24, 2020",Andrea Bartz,Thriller,3.4,"12,616",336,924,English,"1,115",31k
The Peacock Detectives,"January 14, 2020",Carly Nugent,Middle Grade,3.96,388,288,924,English,29,"2,885"
"Surrender, White People!: Our Unconditional Terms for Peace","June 30, 2020",D.L. Hughley,Nonfiction,4.17,"1,175",272,924,English,308,"1,725"
Wicked Liaison,"September 3, 2020",Meara Platt,Gothic,4.41,80,879,924,English,53,133
Patchwork Selkie,"June 11, 2020",Sarina Dorie,Fairy Tales,4.5,24,19,924,English,2,22
One Step After Another,"September 14, 2020",Bethany-Kris,Romance,3.98,351,145,924,English,298,620
You Were Born for This: Astrology for Radical Self-Acceptance,"January 7, 2020",Chani Nicholas,Astrology,4.22,"7,594",293,924,English,"1,811",12.1k
A Forgotten Murder,"March 10, 2020",Jude Deveraux,Mystery,4.02,"4,684",354,924,English,717,"4,612"
In for a Penny,"December 9, 2020",Melissa Foster,Romance,4.41,"1,856",74,924,English,551,"1,479"
The Right Kind of Fool,"November 3, 2020",Sarah Loudin Thomas,Historical Fiction,4.17,933,384,924,English,136,"2,938"
Heart of Flames,"February 11, 2020",Nicki Pau Preto,Fantasy,4.23,"5,144",628,924,English,341,11.6k
"Slaughterhouse-Five, or the Children's Crusade: A Graphic Novel Adaptation","September 1, 2020",Ryan North,Graphic Novels,4.4,"15,615",192,924,English,459,13k
Dreamland,"January 16, 2020",Nancy Bilyeau,Historical Fiction,3.86,"2,703",386,924,English,686,15.7k
The Practice: Shipping Creative Work,"November 1, 2020",Seth Godin,Business,3.97,"4,706",272,924,English,"1,856",11k
The Dawn of the End,"January 21, 2020",Kristen Ashley,Fantasy,4.3,"3,469",,924,English,465,1442
Difficult Women: A History of Feminism in 11 Fights,"February 27, 2020",Helen Lewis,Nonfiction,4.23,"4,154",368,924,English,598,11.4k
Interim,"August 1, 2020",Allissa Chan,Comics,4.08,87,40,924,B0DM2FCV45,201,
Curses Are for Cads,"October 27, 2020",Tamara Berry,Mystery,4.06,366,251,924,English,19,267
Zondagsleven,"October 6, 2020",Judith Visser,Autistic Spectrum Disorder,4.32,"2,194",461,924,Dutch; Flemish,50,"1,079"
Must Love Silence,"October 2, 2020",Lucy Bexley,Romance,3.81,"2,221",238,924,English,190,"3,787"
A Golden Fury,"October 13, 2020",Samantha Cohoe,Fantasy,3.61,"1,683",341,946,English,51,14k
Bestiary,"September 29, 2020",K-Ming Chang,Fiction,3.44,"3,785",259,946,English,583,20.3k
Forever,"April 2, 2020",Kindle Alexander,M M Romance,4.27,"1,313",451,946,English,403,893
The Green Dress,"June 1, 2020",Liz Tolsma,Historical Fiction,4.14,439,256,946,English,22,"1,429"
The Heir Affair,"July 7, 2020",Heather Cocks,Romance,3.81,"26,557",464,946,English,"1,346",38.5k
The Motion of the Body Through Space,"May 7, 2020",Lionel Shriver,Fiction,3.74,"5,143",352,946,English,494,"4,507"
The Likely Resolutions of Oliver Clock,"February 1, 2020",Jane Riley,Fiction,3.75,"13,659",315,946,English,"6,348","7,186"
To Love a Prince,"August 1, 2020",Rachel Hauck,Christian Fiction,4.3,"1,856",352,946,English,448,"1,543"
The Return,"March 24, 2020",Rachel Harrison,Horror,3.39,"19,714",304,946,English,857,44.2k
Vile Intentions,"May 11, 2020",Savannah Rose,New Adult,3.87,"1,311",371,946,English,"1,091",640
Cruel Seduction,"August 18, 2020",Kelli Callahan,,4.3,174,260,946,,144,148
Royal Elite Epilogue,"December 10, 2020",Rina Kent,Romance,4.06,"32,316",227,946,English,"2,764",28.6k
The Forest Lord,"May 14, 2020",Sarina Dorie,,4.55,11,30,946,English,,
A Love Song for Liars,"May 31, 2020",Piper Lawson,Romance,4.09,"4,587",298,946,English,"2,370","4,947"
Drive Me Wild,"August 24, 2020",Melanie Harlow,Contemporary Romance,4.12,"28,974",306,946,English,"6,864",29.1k
Throwaway Girls,"September 1, 2020",Andrea Contos,Mystery,3.63,936,392,946,English,54,"8,353"
Summerwater,"August 7, 2020",Sarah Moss,Fiction,3.51,"14,458",208,946,English,708,15k
The New Wilderness,"July 11, 2020",Diane Cook,Fiction,3.67,"15,410",398,946,English,"1,170",43.7k
A Lady's Guide to Mischief and Murder,"July 28, 2020",Dianne Freeman,Mystery,4.05,"6,360",304,946,English,354,"5,147"
Stormsong,"February 11, 2020",C.L. Polk,Fantasy,3.88,"4,141",345,946,English,327,"4,528"
The End of Everything,"August 4, 2020",Katie Mack,Science,4.26,"11,384",226,946,English,"2,371",38k
Inferno: A Memoir of Motherhood and Madness,"March 19, 2020",Catherine Cho,Nonfiction,4.24,"4,331",242,946,English,221,13.8k
